Date,Outbreak,Cases
16/10/2000,1,71
17/10/2000,1,10
18/10/2000,1,13
19/10/2000,1,17
20/10/2000,1,6
21/10/2000,1,17
22/10/2000,1,10
23/10/2000,1,11
24/10/2000,1,5
25/10/2000,1,11
26/10/2000,1,6
27/10/2000,1,9
28/10/2000,1,14
29/10/2000,1,6
30/10/2000,1,13
31/10/2000,1,15
1/11/2000,1,12
2/11/2000,1,11
3/11/2000,1,4
4/11/2000,1,0
5/11/2000,1,14
6/11/2000,1,1
7/11/2000,1,3
8/11/2000,1,2
9/11/2000,1,9
10/11/2000,1,6
11/11/2000,1,0
12/11/2000,1,19
13/11/2000,1,1
14/11/2000,1,0
15/11/2000,1,0
16/11/2000,1,0
17/11/2000,1,8
18/11/2000,1,0
19/11/2000,1,0
20/11/2000,1,0
21/11/2000,1,0
22/11/2000,1,0
23/11/2000,1,0
24/11/2000,1,8
25/11/2000,1,0
26/11/2000,1,0
27/11/2000,1,0
28/11/2000,1,0
29/11/2000,1,17
30/11/2000,1,0
1/12/2000,1,0
2/12/2000,1,0
3/12/2000,1,0
4/12/2000,1,0
5/12/2000,1,16
6/12/2000,1,0
7/12/2000,1,0
8/12/2000,1,35
9/12/2000,1,0
10/12/2000,1,0
11/12/2000,1,0
12/12/2000,1,0
13/12/2000,1,0
14/12/2000,1,0
15/12/2000,1,0
16/12/2000,1,0
17/12/2000,1,0
18/12/2000,1,0
19/12/2000,1,16
20/12/2000,1,0
21/12/2000,1,0
22/12/2000,1,0
23/12/2000,1,0
24/12/2000,1,0
25/12/2000,1,0
26/12/2000,1,0
27/12/2000,1,0
28/12/2000,1,0
29/12/2000,1,5
30/12/2000,1,0
31/12/2000,1,0
1/01/2001,1,0
2/01/2001,1,0
3/01/2001,1,0
4/01/2001,1,0
5/01/2001,1,0
6/01/2001,1,0
7/01/2001,1,0
8/01/2001,1,0
9/01/2001,1,1
10/01/2001,1,0
11/01/2001,1,0
12/01/2001,1,0
13/01/2001,1,0
14/01/2001,1,0
15/01/2001,1,0
16/01/2001,1,1
17/01/2001,1,0
18/01/2001,1,0
19/01/2001,1,0
20/01/2001,1,0
21/01/2001,1,0
22/01/2001,1,0
23/01/2001,1,0
11/12/2001,2,1
12/12/2001,2,1
13/12/2001,2,0
14/12/2001,2,0
15/12/2001,2,0
16/12/2001,2,0
17/12/2001,2,0
18/12/2001,2,0
19/12/2001,2,23
20/12/2001,2,0
21/12/2001,2,0
22/12/2001,2,0
23/12/2001,2,2
24/12/2001,2,0
25/12/2001,2,0
26/12/2001,2,0
27/12/2001,2,2
28/12/2001,2,0
29/12/2001,2,0
30/12/2001,2,1
31/12/2001,2,0
1/01/2002,2,2
2/01/2002,2,0
3/01/2002,2,0
4/01/2002,2,0
5/01/2002,2,0
6/01/2002,2,1
7/01/2002,2,1
8/01/2002,2,0
9/01/2002,2,0
10/01/2002,2,0
11/01/2002,2,0
12/01/2002,2,0
13/01/2002,2,0
14/01/2002,2,0
15/01/2002,2,0
16/01/2002,2,0
17/01/2002,2,0
18/01/2002,2,0
19/01/2002,2,0
20/01/2002,2,8
21/01/2002,2,0
22/01/2002,2,0
23/01/2002,2,0
24/01/2002,2,0
25/01/2002,2,0
26/01/2002,2,0
27/01/2002,2,0
28/01/2002,2,0
29/01/2002,2,0
30/01/2002,2,0
31/01/2002,2,0
1/02/2002,2,0
2/02/2002,2,0
3/02/2002,2,0
4/02/2002,2,0
5/02/2002,2,27
6/02/2002,2,0
7/02/2002,2,0
8/02/2002,2,0
9/02/2002,2,0
10/02/2002,2,0
11/02/2002,2,0
12/02/2002,2,0
13/02/2002,2,0
14/02/2002,2,0
15/02/2002,2,0
16/02/2002,2,0
17/02/2002,2,0
18/02/2002,2,7
19/02/2002,2,0
20/02/2002,2,0
21/02/2002,2,0
22/02/2002,2,0
23/02/2002,2,2
24/02/2002,2,0
25/02/2002,2,0
26/02/2002,2,0
27/02/2002,2,0
28/02/2002,2,0
1/03/2002,2,0
2/03/2002,2,0
3/03/2002,2,0
4/03/2002,2,3
5/03/2002,2,0
6/03/2002,2,0
7/03/2002,2,0
8/03/2002,2,0
9/03/2002,2,0
10/03/2002,2,0
11/03/2002,2,0
12/03/2002,2,10
13/03/2002,2,0
14/03/2002,2,0
15/03/2002,2,0
16/03/2002,2,0
17/03/2002,2,0
18/03/2002,2,0
19/03/2002,2,0
20/03/2002,2,1
18/02/2003,3,73
19/02/2003,3,0
20/02/2003,3,0
21/02/2003,3,0
22/02/2003,3,0
23/02/2003,3,0
24/02/2003,3,0
25/02/2003,3,17
26/02/2003,3,0
27/02/2003,3,2
28/02/2003,3,0
1/03/2003,3,0
2/03/2003,3,0
3/03/2003,3,0
4/03/2003,3,0
5/03/2003,3,0
6/03/2003,3,0
7/03/2003,3,13
8/03/2003,3,0
9/03/2003,3,0
10/03/2003,3,0
11/03/2003,3,0
12/03/2003,3,0
13/03/2003,3,0
14/03/2003,3,0
15/03/2003,3,0
16/03/2003,3,0
17/03/2003,3,0
18/03/2003,3,0
19/03/2003,3,0
20/03/2003,3,0
21/03/2003,3,0
22/03/2003,3,0
23/03/2003,3,5
24/03/2003,3,0
25/03/2003,3,0
26/03/2003,3,0
27/03/2003,3,0
28/03/2003,3,0
29/03/2003,3,0
30/03/2003,3,0
31/03/2003,3,0
1/04/2003,3,0
2/04/2003,3,12
3/04/2003,3,0
4/04/2003,3,0
5/04/2003,3,0
6/04/2003,3,0
7/04/2003,3,0
8/04/2003,3,0
9/04/2003,3,0
10/04/2003,3,0
11/04/2003,3,0
12/04/2003,3,0
13/04/2003,3,0
14/04/2003,3,5
15/04/2003,3,0
16/04/2003,3,0
17/04/2003,3,0
18/04/2003,3,0
19/04/2003,3,0
20/04/2003,3,0
21/04/2003,3,0
22/04/2003,3,0
23/04/2003,3,0
24/04/2003,3,0
25/04/2003,3,0
26/04/2003,3,0
27/04/2003,3,0
28/04/2003,3,0
29/04/2003,3,0
30/04/2003,3,0
1/05/2003,3,0
2/05/2003,3,0
3/05/2003,3,0
4/05/2003,3,0
5/05/2003,3,0
6/05/2003,3,3
17/11/2003,4,11
18/11/2003,4,0
19/11/2003,4,0
20/11/2003,4,0
21/11/2003,4,13
22/11/2003,4,0
23/11/2003,4,0
24/11/2003,4,12
25/11/2003,4,0
26/11/2003,4,0
27/11/2003,4,0
28/11/2003,4,0
29/11/2003,4,0
30/11/2003,4,0
1/12/2003,4,0
2/12/2003,4,11
3/12/2003,4,0
4/12/2003,4,0
5/12/2003,4,0
6/12/2003,4,0
7/12/2003,4,0
8/12/2003,4,0
9/12/2003,4,0
10/12/2003,4,0
11/12/2003,4,0
12/12/2003,4,0
13/12/2003,4,0
14/12/2003,4,0
15/12/2003,4,0
16/12/2003,4,0
17/12/2003,4,0
18/12/2003,4,0
19/12/2003,4,0
20/12/2003,4,0
21/12/2003,4,0
22/12/2003,4,0
23/12/2003,4,0
24/12/2003,4,0
24/05/2004,5,19
25/05/2004,5,0
26/05/2004,5,1
27/05/2004,5,0
28/05/2004,5,0
29/05/2004,5,0
30/05/2004,5,0
31/05/2004,5,5
1/06/2004,5,0
2/06/2004,5,0
3/06/2004,5,0
4/06/2004,5,0
5/06/2004,5,0
6/06/2004,5,3
7/06/2004,5,0
8/06/2004,5,0
9/06/2004,5,0
10/06/2004,5,2
11/06/2004,5,0
12/06/2004,5,0
13/06/2004,5,0
14/06/2004,5,0
15/06/2004,5,0
16/06/2004,5,0
17/06/2004,5,0
18/06/2004,5,0
19/06/2004,5,0
20/06/2004,5,0
21/06/2004,5,0
22/06/2004,5,0
23/06/2004,5,0
24/06/2004,5,0
25/06/2004,5,0
26/06/2004,5,0
27/06/2004,5,0
28/06/2004,5,0
29/06/2004,5,0
30/06/2004,5,0
1/07/2004,5,0
2/07/2004,5,0
3/07/2004,5,0
4/07/2004,5,0
5/07/2004,5,0
6/07/2004,5,0
17/05/2005,6,11
18/05/2005,6,0
19/05/2005,6,0
20/05/2005,6,0
21/05/2005,6,0
22/05/2005,6,0
23/05/2005,6,0
24/05/2005,6,0
25/05/2005,6,1
11/09/2007,7,330
12/09/2007,7,0
13/09/2007,7,0
14/09/2007,7,0
15/09/2007,7,0
16/09/2007,7,0
17/09/2007,7,0
18/09/2007,7,0
19/09/2007,7,0
20/09/2007,7,0
21/09/2007,7,0
22/09/2007,7,0
23/09/2007,7,0
24/09/2007,7,0
25/09/2007,7,0
26/09/2007,7,0
27/09/2007,7,17
28/09/2007,7,0
29/09/2007,7,0
30/09/2007,7,0
1/10/2007,7,0
2/10/2007,7,0
3/10/2007,7,25
30/11/2007,8,67
1/12/2007,8,0
2/12/2007,8,0
3/12/2007,8,0
4/12/2007,8,0
5/12/2007,8,0
6/12/2007,8,0
7/12/2007,8,321
25/12/2008,9,43
26/12/2008,9,0
27/12/2008,9,0
28/12/2008,9,0
29/12/2008,9,0
30/12/2008,9,0
31/12/2008,9,48
1/01/2009,9,0
2/01/2009,9,0
3/01/2009,9,0
4/01/2009,9,0
5/01/2009,9,0
6/01/2009,9,0
7/01/2009,9,0
8/01/2009,9,0
9/01/2009,9,0
10/01/2009,9,0
11/01/2009,9,0
12/01/2009,9,0
13/01/2009,9,0
14/01/2009,9,0
15/01/2009,9,0
16/01/2009,9,0
17/01/2009,9,0
18/01/2009,9,0
19/01/2009,9,0
20/01/2009,9,0
21/01/2009,9,0
22/01/2009,9,0
23/01/2009,9,0
24/01/2009,9,0
25/01/2009,9,0
26/01/2009,9,0
27/01/2009,9,0
28/01/2009,9,0
29/01/2009,9,0
30/01/2009,9,0
